year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,B6,PHL,110.0,20.0,11.37,0.0,2.35,0.0,6.28,6.0,0.0,1393.0,759.0,0.0,81.0,0.0,553.0
2022,10,OO,RST,64.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,227.0,0.0,0.0,0.0,0.0
2021,3,AA,ELP,111.0,21.0,10.9,1.59,2.95,0.0,5.56,0.0,0.0,1167.0,534.0,209.0,118.0,0.0,306.0
2016,2,AS,MCI,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0
2021,11,WN,DAL,5106.0,1229.0,379.97,4.82,439.66,4.21,400.34,16.0,4.0,52975.0,16883.0,357.0,15097.0,126.0,20512.0
2017,11,WN,CRP,111.0,13.0,4.2,0.0,0.0,0.0,8.8,0.0,0.0,597.0,108.0,0.0,0.0,0.0,489.0
2021,10,AS,MKE,31.0,3.0,2.49,0.0,0.51,0.0,0.0,0.0,0.0,169.0,139.0,0.0,30.0,0.0,0.0
2019,4,OH,ALB,142.0,22.0,7.66,0.56,2.84,0.0,10.94,1.0,0.0,1356.0,520.0,63.0,208.0,0.0,565.0
2017,10,WN,MAF,261.0,36.0,13.98,0.0,1.93,0.0,20.09,0.0,0.0,1570.0,617.0,0.0,109.0,0.0,844.0
2019,9,G4,ELP,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0
2017,10,NK,DEN,287.0,36.0,8.21,1.67,15.92,0.0,10.2,0.0,0.0,2338.0,342.0,135.0,1025.0,0.0,836.0
2020,10,WN,MEM,234.0,14.0,5.82,0.0,1.0,0.0,7.18,0.0,0.0,427.0,216.0,0.0,29.0,0.0,182.0
